total cost: 22105.7000000009
1223 77382 0.16
1224 97497 0.05
1225 54661 0.06
1226 10174 0.14
1227 84813 0.16
1228 93579 0.34
1229 61713 0.08
1230 28459 0.23
1231 35209 0.1
1232 35782 0.42
1233 43830 0.05
1234 30188 0.17
1235 68629 0.07
1236 57937 0.43
1237 17385 0.16
1238 87347 0.71
1239 10102 0.35
1240 45340 0.15
1241 21584 0.08
1242 73609 0.08
1243 31898 0.15
1244 3341 0.15
1245 51870 0.36
1246 51087 0.06
1247 57237 0.29
1248 89116 0.03
1249 44314 0
1250 74213 0.24
1251 45911 0.23
1252 39996 0.15
1253 88500 0.17
1254 81112 0.04
1255 80595 0.09
1256 38472 0.22
1257 51028 0.12
1258 37604 0.02
1259 60901 0.17
1260 75660 0.22
1261 79404 0.48
1262 59545 0.19
1263 73875 0.03
1264 65401 0.23
1265 60040 0.23
1266 76549 0.43
1267 8824 0.04
1268 26179 0.09
1269 89792 0.1
1270 56610 0.26
1271 28692 0.58
1272 14370 0.47
1273 87543 0.08
1274 3008 0.24
1275 27345 0.21
1276 38063 0.18
1277 67850 0.11
1278 73719 0.26
1279 74853 0.2
1280 12428 0.17
1281 40478 0.06
1282 50868 0.13
1283 61049 0.46
1284 31753 0.29
1285 66037 0.58
1286 49583 0.11
1287 63837 0.43
1288 99066 0.17
1289 26780 0.08
1290 70978 0.23
1291 65272 0.12
1292 39517 0.19
1293 70636 0.72
1294 63913 0.48
1295 61705 0.13
1296 7481 0.06
1297 44913 0.21
1298 42326 0.05
1299 46623 0.29
1300 93820 0.25
1301 83470 0.43
1302 91217 0.1
1303 67328 0.43
1304 44458 0.01
1305 40495 0.12
1306 62367 0.22
1307 38258 0.36
1308 99068 0.14
1309 85789 0.3
1310 72664 0.04
1311 19422 0.26
1312 41276 0.19
1313 24372 0.33
1314 44470 0.86
1315 25339 0.02
1316 94969 0.51
1317 76957 0.28
1318 87747 0.03
1319 45040 0.06
1320 74901 0.27
1321 68922 0.46
1322 34718 0.34
1323 83278 0.19
1324 85755 0.03
1325 5097 0.08
1326 93781 0.18
1327 8902 0.47
1328 81168 0.05
1329 62987 0.16
1330 77788 0.32
1331 37879 0.32
1332 23095 0.21
1333 60967 0.12
